级别,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,模块名
0,Trackboard.exe,34,0,100,0,
0,"Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)",17,0,50,0,Trackboard.exe
1,"Trackboard.Meth.CheckLogin(string,string)",9,0,26.47,0,Trackboard.exe
2,Trackboard.DATA.GetUsers(),8,0,23.53,0,Trackboard.exe
3,System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>),7,7,20.59,20.59,System.Core.ni.dll
3,"System.Data.Linq.DataContext.Init(object,class System.Data.Linq.Mapping.MappingSource)",1,1,2.94,2.94,System.Data.Linq.ni.dll
2,[clr.dll],1,1,2.94,2.94,clr.dll
1,Trackboard.Meth.SaveUData(class Trackboard.User),7,0,20.59,0,Trackboard.exe
2,Trackboard.Meth.Encrypt(string),7,0,20.59,0,Trackboard.exe
3,System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32),7,7,20.59,20.59,mscorlib.ni.dll
1,[clr.dll],1,1,2.94,2.94,clr.dll
0,"Trackboard.MainWindow.btnUser_Click(object,class System.Windows.RoutedEventArgs)",5,0,14.71,0,Trackboard.exe
1,Trackboard.DATA.GetUsers(),5,0,14.71,0,Trackboard.exe
2,System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>),5,5,14.71,14.71,System.Core.ni.dll
0,"Trackboard.MainWindow.btnOff_Click(object,class System.Windows.RoutedEventArgs)",3,0,8.82,0,Trackboard.exe
1,Trackboard.Login..ctor(),3,0,8.82,0,Trackboard.exe
2,Trackboard.Meth.ReadUData(),3,0,8.82,0,Trackboard.exe
3,Trackboard.Meth.Decrypt(string),3,0,8.82,0,Trackboard.exe
4,System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32),3,3,8.82,8.82,mscorlib.ni.dll
0,"Trackboard.MainWindow.btnTch_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0,Trackboard.exe
1,Trackboard.DATA.GetTeachers(),2,0,5.88,0,Trackboard.exe
2,System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>),2,2,5.88,5.88,System.Core.ni.dll
0,"Trackboard.MainWindow.btnCos_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0,Trackboard.exe
1,Trackboard.DATA.GetCourses(),2,0,5.88,0,Trackboard.exe
2,System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>),2,2,5.88,5.88,System.Core.ni.dll
0,"Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0,Trackboard.exe
1,Trackboard.Meth.AddUser(class Trackboard.User),1,0,2.94,0,Trackboard.exe
2,Trackboard.DATA.AddUser(class Trackboard.User),1,0,2.94,0,Trackboard.exe
3,System.Data.Linq.DataContext.SubmitChanges(valuetype System.Data.Linq.ConflictMode),1,1,2.94,2.94,System.Data.Linq.ni.dll
1,[clr.dll],1,1,2.94,2.94,clr.dll
0,Trackboard.MainWindow..ctor(),1,0,2.94,0,Trackboard.exe
1,[clr.dll],1,1,2.94,2.94,clr.dll
0,"Trackboard.MainWindow.btnStu_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0,Trackboard.exe
1,Trackboard.DATA.GetStudents(),1,0,2.94,0,Trackboard.exe
2,System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>),1,1,2.94,2.94,System.Core.ni.dll
0,"Trackboard.MainWindow.btnPrf_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0,Trackboard.exe
1,[clr.dll],1,1,2.94,2.94,clr.dll
