类型,唯一 ID,ID,名称,开始时间,结束时间,生存时间,
"Process",0,5676,"Trackboard.exe",66.44,"107,536.48","107,470.05",
"Thread",1,4628,"未知",147.11,"107,227.02","107,079.90",
"Thread",3,6716,"[wpfgfx_v0400.dll]",601.85,"107,218.68","106,616.83",
"Thread",5,4768,"[atiumd64.dll]",851.83,"12,850.94","11,999.12",
"Thread",6,4236,"[atiumd64.dll]",851.84,"12,850.98","11,999.13",
"Thread",7,6396,"[atiumd64.dll]",852.54,"12,850.85","11,998.30",
"Thread",8,4492,"[clr.dll]","10,424.56","107,225.73","96,801.17",
"Thread",10,6320,"[atiumd64.dll]","12,921.59","107,216.17","94,294.58",
"Thread",11,3456,"[atiumd64.dll]","12,982.03","107,216.01","94,233.98",
"Thread",12,6832,"[atiumd64.dll]","12,983.40","107,216.08","94,232.67",
"Thread",13,6796,"[clr.dll]","15,133.54","100,056.16","84,922.61",
"Thread",14,5972,"[clr.dll]","15,133.62","107,225.71","92,092.09",
"Thread",15,7000,"[clr.dll]","15,133.81","100,056.10","84,922.29",
"Thread",16,6760,"[clr.dll]","15,133.89","107,225.67","92,091.78",
"Thread",22,6448,"[clr.dll]","33,215.69","107,225.67","74,009.98",
"Thread",26,2776,"[ntdll.dll]","43,725.66","107,225.68","63,500.01",
"Thread",32,5192,"[ntdll.dll]","73,333.37","107,225.75","33,892.38",
